# time, u, cmd
1.257235427200000011e+01,-3.576792543753981590e-03,-1.240508630871772766e-03
1.260093977900000084e+01,-3.564560553058981895e-03,-1.205288455821573734e-03
1.262989508200000088e+01,-3.554536961019039154e-03,-1.157088903710246086e-03
1.266018444400000043e+01,-3.554536961019039154e-03,-1.091215526685118675e-03
1.269066121300000027e+01,-3.422952955588698387e-03,-1.017687143757939339e-03
1.272034103800000082e+01,-3.414760576561093330e-03,-9.471306693740189075e-04
1.274988425000000092e+01,-3.403786337003111839e-03,-8.862129761837422848e-04
1.278104474100000054e+01,-3.400115529075264931e-03,-8.325593080371618271e-04
1.280984943500000028e+01,-3.389987163245677948e-03,-7.827425142750144005e-04
1.284002134400000017e+01,-3.263890743255615234e-03,-7.407604134641587734e-04
1.287237863500000046e+01,-3.194296034052968025e-03,-7.284245220944285393e-04
1.290104534900000033e+01,-3.072610357776284218e-03,-7.323907921090722084e-04
1.293049576499999986e+01,-3.072610357776284218e-03,-7.182653644122183323e-04
1.296091159200000043e+01,-2.826023614034056664e-03,-7.104303222149610519e-04
1.299157215700000023e+01,-2.527661388739943504e-03,-7.221178384497761726e-04
1.302041912600000018e+01,-2.342252060770988464e-03,-7.155056810006499290e-04
1.305008557899999921e+01,-2.096457872539758682e-03,-6.515104905702173710e-04
1.308100539399999995e+01,-1.913550659082829952e-03,-5.499540711753070354e-04
1.311049793199999947e+01,-1.913550659082829952e-03,-4.798679146915674210e-04
1.314117467900000058e+01,-1.791126560419797897e-03,-4.597183142323046923e-04
1.317116021000000003e+01,-1.784696360118687153e-03,-4.581652465276420116e-04
1.320010282600000018e+01,-1.777842640876770020e-03,-4.555578343570232391e-04
1.323121068000000022e+01,-1.530654611997306347e-03,-4.668695910368114710e-04
1.326000236800000032e+01,-1.521560247056186199e-03,-5.984152667224407196e-04
1.329070565299999984e+01,-1.521560247056186199e-03,-8.300909539684653282e-04
1.332087272699999936e+01,-1.516402931883931160e-03,-9.371556225232779980e-04
1.335015799700000017e+01,-1.335509005002677441e-03,-9.070315863937139511e-04
1.338267248500000051e+01,-1.092678518034517765e-03,-8.713403949514031410e-04
1.341053551199999916e+01,-1.082797418348491192e-03,-8.406596025452017784e-04
1.344026706200000021e+01,-1.075166044756770134e-03,-8.018845692276954651e-04
1.347005445699999981e+01,-1.068275421857833862e-03,-7.736654952168464661e-04
1.350014642200000026e+01,-1.064438140019774437e-03,-7.731925579719245434e-04
1.352986841499999926e+01,-1.064438140019774437e-03,-7.881062920205295086e-04
1.356007323799999931e+01,-1.055587665177881718e-03,-7.960717193782329559e-04
1.359117507999999930e+01,-1.047864090651273727e-03,-8.070456096902489662e-04
1.362152902999999959e+01,-1.038562040776014328e-03,-8.353346493095159531e-04
